,,,,, BFT, BS, FML, PROFESSIONAL TAX, NHIF, NSSF, TOTAL DEDUCTION, NET PAY, FOOD ALLOWANCE, HRA, CONV, TOTAL GROSS, , PF, EDUCATION LOAN
ACME INDUSTRIES LTD.,10011,ADRIAL,Approved,31,,"38,710.00",,0.00,,,"1,875.00","58,125.00",,"19,355.00","1,935.00","60,000.00",,"1,875.00",
,11313,Ravi sharma,Approved,31,,"20,000.00",,500.00,,200.00,"10,500.00","19,500.00",,"10,000.00",,"30,000.00",,"1,800.00","8,000.00"
,12012,SONALI,Approved,31,,"20,000.00",,,,,0.00,"20,000.00",,,,"20,000.00",,,
,12345,JARA,Pending,31,,"14,359.00",,,,,0.00,"20,538.00",,,,"20,538.00",,,
,1313141,MAUSAM,Approved,31,,"20,000.00",,,,,0.00,"20,000.00",,,,"20,000.00",,,
,13245,Danim test,Approved,31,,"20,000.00",,,500.00,200.00,"2,500.00","17,500.00",,,,"20,000.00","1,800.00",,
,3124,RAJIVE,Approved,31,,"20,000.00",,,,,"1,800.00","18,200.00",,,,"20,000.00",,"1,800.00",
,31414,TEST NOTICE EMP,Approved,31,,"20,000.00",,,,,0.00,"20,000.00",,,,"20,000.00",,,
,3421,TEST VOUCHER EMP,Approved,31,,"20,000.00",,,,,0.00,"20,000.00",,,,"20,000.00",,,
,45678-SS,SUNNY,Pending,31,,"25,000.00",,,,,0.00,"25,000.00",,,,"25,000.00",,,
,6789,DENIM TEST 2,Approved,31,"2,000.00",,,,,,0.00,"2,000.00",,,,"2,000.00",,,
,DEBOPREO,VP-Projects,Approved,31,,"8,653.00",,,,,"1,082.00","19,313.00","3,613.00","4,968.00","3,161.00","20,395.00",,"1,082.00",
,RHS123,ROHAN SHARMA,Pending,31,,"15,000.00",,,,,500.00,"14,500.00",,,,"15,000.00",,,
,SAN-0012,SONALI,Approved,30,,"14,516.00",484.00,,,,0.00,"16,452.00",,"1,452.00",,"16,452.00",,,
,sn001,sonali,Approved,31,,"20,000.00",,,,,0.00,"21,200.00",,"1,200.00",,"21,200.00",,,
