,,,,,,,,,,,,,,,,,ACME INDUSTRIES LTD.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Daily Call Register,,,,,,
Organisation : ACME INDUSTRIES LTD.,,,,,,,,,,,,,,,,,,,,,Period : ,,,,01-03-2015,,,31-03-2015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,To :,,
S No.,,,ID,,Description,,Customer ,,Address,,Stage,,Next Action,,Next Date,,,Sales Executive,,,Expected Closure Date,,,,,Expected Amt.,,,
,1,.,,DC000007,,,,ALUM,,,,New Call1,,,,,,,Amit Banda,,,17-03-2015,,,,,,,
,2,.,,DC000005,,,,S.K Jain,,"B-125 Sector 126
Noida Expressway
",,New Call1,,,,16-03-2015,,,Ellen Abel,,,17-03-2015,,,,,,,
,3,.,,DC000004,,,,S.K. TELECOM,,"B-45
Sector-63
",,New Call1,,,,17-03-2015,,,Shelli Baida,,,24-03-2015,,,,,,,
,,,,,,,,,,,,,,,,,,,,Total Amount:,,,,,,,,,
,28-Apr-2015 ,,,,,,,,,,,,,,,,,,,,,,,Page 1 of,,,,, 1
"----------End Of Report----------
Generated by ebizframe 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
