,,,ACME INDUSTRIES LTD.,,,,,,,,,,
,,,,,Customer/Category Wise Address,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,Period :,,,To,,
Customer Category,,Customer/Dealer Name,,Location,,Phone No.,,,,Fax No.,,,
CONSIGNEE,,Amritesh Singh 2,,"noida, UTTAR PRADESH (WEST), India.",,,9988776654,,,,,,
NEW,,Amritesh Singh1,,"noida Ncr, DELHI$, India.",,,,,,,,,
CONSIGNEE,,Birla Tech Life Pvt Ltd.,,"Daryaganj, 110095, DELHI$, India.",,,,,,,,,
CONSIGNEE,,ICICI Bank- Branch,,"12345678, first, North, B, ADF1, BANGLORE, KARNATAKA, India.",,,,,,,,,
CONSIGNEE,,ICICI Bank- Branch,,"B-45, Sector-63, NOIDA, UTTAR PARDESH, DELHI$- 201307, India.",,,,,,,,,
CONSIGNEE,,RAM LAL,,"B-45, Sector-63, NOIDA, UTTAR PARDESH, DELHI$- 201307, India.",,,,,,,,,
CONSIGNEE,,S.K Gupta,,"B-20 & D-5, UPSIDC Industrial Area, Surajpur, site C , DELHI$- 201306, India.",,,,,,,,,
CONSIGNEE,,S.K Gupta,,,,,,,,,,,
CONSIGNEE,,S.K Jain,,"B-125 Sector 126, Noida Expressway, Noida, UTTAR PRADESH (WEST)- 201301, India.",,,,,,,,,
CONSIGNEE,,S.K Jain,,"B-45, Sector-63, NOIDA, UTTAR PARDESH, DELHI$- 201307, India.",,,,,,,,,
CONSIGNEE,,S.K Jain,,,,,,,,,,,
RETAILER,,S.K. TELECOM,,"B-45, Sector-63, NOIDA, UTTAR PARDESH, DELHI$- 201307, India.",,,,,,,,,
DEALER,,SLS Vince Gilligan,,"EBIZ-10, second, North, B, ADF1, BANGLORE, KARNATAKA, India.",,,77,,,345678,,,
DEALER,,XYZ GROUP MUMBAI,,"asfgv, asdf, DELHI$- 110043, India.",,,,,,,,,
,"19-Oct-2015 , 3.40 PM",,,,,,,,,,,,
,,,,,,,,,Page 1 of,,,, 1
"----------End Of Report----------
Generated By ebizframe10",,,,,,,,,,,,,
